currencyCode,tierMinimumUnits,retailPrice,unitPrice,armRegionName,location,effectiveStartDate,meterId,meterName,productId,skuId,productName,skuName,serviceName,serviceId,serviceFamily,unitOfMeasure,type,isPrimaryMeterRegion,armSkuName,reservationTerm
USD,0.0,0.472,0.472,koreacentral,KR Central,2025-07-01T00:00:00Z,fef8b1a9-7a83-5886-a8d1-7a47198034c5,vCore,DZH318Z0DCS1,DZH318Z0DCS1/006N,Azure Database for PostgreSQL Flexible Server General Purpose Dsv3 Series Compute,4 vCore,Azure Database for PostgreSQL,DZH3199QPQTD,Databases,1 Hour,Consumption,False,AzureDB_PostgreSQL_Flexible_Server_General_Purpose_Dsv3Series_Compute,
USD,0.0,0.88,0.88,koreacentral,KR Central,2025-07-01T00:00:00Z,44401c48-9b74-5599-98a1-2bf84aa4a967,Standard_E8ads_v5 vCore,DZH318Z08VF5,DZH318Z08VF5/093T,Azure Managed Instance for Apache Cassandra - Compute,Apache_Cassandra_Standard_E8ads_v5,Azure Managed Instance for Apache Cassandra,DZH317NW2D37,Databases,1 Hour,Consumption,True,Apache_Cassandra_Standard_E8ads_v5,
USD,0.0,0.016,0.016,koreacentral,KR Central,2018-09-24T00:00:00Z,44681f65-4f26-4ef7-842e-1068c68a5eee,100 Multi-master RU/s,DZH318Z0BPJH,DZH318Z0BPJH/00DG,Azure Cosmos DB,mRUs,Azure Cosmos DB,DZH317DL9CC7,Databases,1/Hour,Consumption,True,,
USD,0.0,0.0295,0.0295,koreacentral,KR Central,2024-11-01T00:00:00Z,447835cc-1c6b-514b-9f80-024aa2c99562,LTR Backup ZRS Data Stored,DZH318Z094PB,DZH318Z094PB/003X,SQL Managed Instance - LTR Backup Storage,LTR Backup ZRS,SQL Managed Instance,DZH318XWNZTN,Databases,1 GB/Month,Consumption,True,LTR Backup,
USD,0.0,1.043,1.043,koreacentral,KR Central,2025-06-01T00:00:00Z,44b3dd7d-55c2-515f-9e6a-c12f4f29f16d,M50 Cache Instance,DZH318Z0CSLD,DZH318Z0CSLD/009F,Azure Managed Redis - Memory Optimized,M50,Redis Cache,DZH314LP4PZS,Databases,1 Hour,Consumption,True,M50,
USD,0.0,1.444828,1.444828,koreacentral,KR Central,2018-10-08T00:00:00Z,653cfaae-dac7-4668-902e-c033ba142ee0,vCore,DZH318Z0BJRQ,DZH318Z0BJRQ/00JK,SQL Managed Instance Hyperscale - Compute Gen5,14 vCore,SQL Managed Instance,DZH318XWNZTN,Databases,1 Hour,Consumption,False,,
USD,0.0,7.981,7.981,koreacentral,KR Central,2023-06-01T00:00:00Z,c5d7039e-d7a5-5b9b-ab6f-debfd92176a9,vCore,DZH318Z0B172,DZH318Z0B172/00BN,SQL Managed Instance General Purpose - Premium Series Memory Optimized Compute,24 vCore,SQL Managed Instance,DZH318XWNZTN,Databases,1 Hour,Consumption,False,24 vCore,
USD,0.0,66.43,66.43,koreacentral,KR Central,2017-02-01T00:00:00Z,452a0d4a-e4ac-4622-a544-ef102b2dce0d,P4 Secondary Active DTU,DZH318Z0BQHC,DZH318Z0BQHC/00K1,SQL Database Single Premium,P4 Secondary Active,SQL Database,DZH3180HX10K,Databases,1/Day,Consumption,True,,
USD,0.0,13.76048,13.76048,koreacentral,KR Central,2025-07-01T00:00:00Z,0fc6c500-1e1a-4d47-9c73-ff0db2cff60e,vCore,DZH318Z0BPXH,DZH318Z0BPXH/02J7,SQL Database Single/Elastic Pool Business Critical - Compute Gen5,40 vCore,SQL Database,DZH3180HX10K,Databases,1 Hour,Consumption,False,,
USD,0.0,21.44,21.44,koreacentral,KR Central,2025-04-01T00:00:00Z,a3981eb7-093e-4e4d-902d-1c5cb88d583c,eDTUs,DZH318Z0BQHM,DZH318Z0BQHM/0034,SQL Database Elastic Pool - Basic,400 DTU Pack,SQL Database,DZH3180HX10K,Databases,1/Day,Consumption,False,,
USD,0.0,0.01,0.01,koreacentral,KR Central,2024-05-01T00:00:00Z,45d81a4b-afec-5a33-910f-b3c274703b76,vCore,DZH318Z08M0D,DZH318Z08M0D/01JJ,SQL Database Single/Elastic Pool Hyperscale - Compute DC-Series,32 vCore,SQL Database,DZH3180HX10K,Databases,1 Hour,Consumption,True,32 vCore,
USD,0.0,3.302496,3.302496,koreacentral,KR Central,2025-07-01T00:00:00Z,57e1cedd-0a94-4832-b55e-295345c235e9,vCore,DZH318Z0BXXX,DZH318Z0BXXX/008J,SQL Database SingleDB/Elastic Pool Hyperscale - Compute Gen5,16 vCore,SQL Database,DZH3180HX10K,Databases,1 Hour,Consumption,False,SQLDB_HS_Compute_Gen5_16,
USD,0.0,0.118,0.118,koreacentral,KR Central,2025-07-01T00:00:00Z,2e63d956-6032-57dd-a662-b82fa55f6f47,vCore,DZH318Z0DCS0,DZH318Z0DCS0/00PD,Azure Database for MySQL Flexible Server General Purpose Series Compute,vCore,Azure Database for MySQL,DZH317NR0P99,Databases,1 Hour,Consumption,False,AzureDB_MySQL_Flexible_Server_General_Purpose_Ddsv4_Compute,
USD,0.0,620.0,620.0,koreacentral,KR Central,2025-07-01T00:00:00Z,2e63d956-6032-57dd-a662-b82fa55f6f47,vCore,DZH318Z0DCS0,DZH318Z0DCS0/00PG,Azure Database for MySQL Flexible Server General Purpose Series Compute,vCore,Azure Database for MySQL,DZH317NR0P99,Databases,1 Hour,Reservation,False,AzureDB_MySQL_Flexible_Server_General_Purpose_Ddsv4_Compute,1 Year
