currencyCode,retailPrice,location,skuName,OS,type,reservationTerm
USD,0.944,koreacentral,D16as v4,Windows,DevTestConsumption,
USD,6.53,koreacentral,Dasv5 Type1,Linux,Consumption,
USD,33748.0,koreacentral,Dasv5 Type1,Linux,Reservation,1 Year
USD,65207.0,koreacentral,Dasv5 Type1,Linux,Reservation,3 Years
USD,3.987,koreacentral,D64lds v6,Linux,Consumption,
USD,21652.0,koreacentral,D64lds v6,Linux,Reservation,1 Year
USD,40859.0,koreacentral,D64lds v6,Linux,Reservation,3 Years
USD,2.419,koreacentral,D48ls v6,Linux,Consumption,
USD,13139.0,koreacentral,D48ls v6,Linux,Reservation,1 Year
USD,24795.0,koreacentral,D48ls v6,Linux,Reservation,3 Years
USD,0.997,koreacentral,D16lds v6,Linux,Consumption,
USD,5413.0,koreacentral,D16lds v6,Linux,Reservation,1 Year
USD,10215.0,koreacentral,D16lds v6,Linux,Reservation,3 Years
USD,2.832,koreacentral,D48as v4,Linux,Consumption,
USD,14389.0,koreacentral,D48as v4,Linux,Reservation,1 Year
USD,27984.0,koreacentral,D48as v4,Linux,Reservation,3 Years
USD,0.42,koreacentral,D4as v4,Windows,Consumption,
USD,0.236,koreacentral,D4as v4,Windows,DevTestConsumption,
USD,1.68,koreacentral,D16 v4,Windows,Consumption,
USD,0.944,koreacentral,D16 v4,Windows,DevTestConsumption,
USD,0.84,koreacentral,D8s v4,Windows,Consumption,
USD,0.472,koreacentral,D8s v4,Windows,DevTestConsumption,
USD,3.36,koreacentral,D32s v4,Windows,Consumption,
USD,1.888,koreacentral,D32s v4,Windows,DevTestConsumption,
USD,7.443,koreacentral,D64ads v6,Windows,Consumption,
USD,4.499,koreacentral,D64ads v6,Windows,DevTestConsumption,
USD,0.815,koreacentral,D8as v6,Windows,Consumption,
USD,0.447,koreacentral,D8as v6,Windows,DevTestConsumption,
USD,0.944,koreacentral,D16a v4,Linux,Consumption,
USD,4796.0,koreacentral,D16a v4,Linux,Reservation,1 Year
USD,9328.0,koreacentral,D16a v4,Linux,Reservation,3 Years
USD,0.408,koreacentral,D4as v6,Windows,Consumption,
USD,0.224,koreacentral,D4as v6,Windows,DevTestConsumption,
USD,0.764,koreacentral,D8als v6,Windows,Consumption,
USD,0.396,koreacentral,D8als v6,Windows,DevTestConsumption,
USD,0.215,koreacentral,D2s v3,Windows,Consumption,
USD,0.123,koreacentral,D2s v3,Windows,DevTestConsumption,
USD,1.542,koreacentral,D16ls v6,Windows,Consumption,
USD,0.806,koreacentral,D16ls v6,Windows,DevTestConsumption,
USD,0.21,koreacentral,D2as v4,Windows,Consumption,
USD,0.118,koreacentral,D2as v4,Windows,DevTestConsumption,
USD,0.193,koreacentral,D2ls v6,Windows,Consumption,
USD,0.101,koreacentral,D2ls v6,Windows,DevTestConsumption,
USD,6.016,koreacentral,D64ls v5,Windows,Consumption,
USD,3.072,koreacentral,D64ls v5,Windows,DevTestConsumption,
USD,4.608,koreacentral,D96ls v5,Linux,Consumption,
USD,23816.0,koreacentral,D96ls v5,Linux,Reservation,1 Year
USD,46017.0,koreacentral,D96ls v5,Linux,Reservation,3 Years
USD,0.202,koreacentral,D2lds v5,Windows,Consumption,
USD,0.11,koreacentral,D2lds v5,Windows,DevTestConsumption,
USD,1.68,koreacentral,D16a v4,Windows,Consumption,
USD,0.944,koreacentral,D16a v4,Windows,DevTestConsumption,
USD,6.931,koreacentral,D64lds v6,Windows,Consumption,
USD,3.987,koreacentral,D64lds v6,Windows,DevTestConsumption,
USD,5.883,koreacentral,D48ds v6,Windows,Consumption,
USD,3.675,koreacentral,D48ds v6,Windows,DevTestConsumption,
USD,6.17,koreacentral,D64ls v6,Windows,Consumption,
USD,3.226,koreacentral,D64ls v6,Windows,DevTestConsumption,
USD,1.112,koreacentral,D16ds v4,Linux,Consumption,
USD,5670.0,koreacentral,D16ds v4,Linux,Reservation,1 Year
USD,10988.0,koreacentral,D16ds v4,Linux,Reservation,3 Years
USD,2.304,koreacentral,D48ls v5,Linux,Consumption,
USD,11908.0,koreacentral,D48ls v5,Linux,Reservation,1 Year
USD,23009.0,koreacentral,D48ls v5,Linux,Reservation,3 Years
USD,0.403,koreacentral,D8ls v6,Linux,Consumption,
USD,2190.0,koreacentral,D8ls v6,Linux,Reservation,1 Year
USD,4132.0,koreacentral,D8ls v6,Linux,Reservation,3 Years
USD,6.491,koreacentral,Dsv3 Type4,Linux,Consumption,
USD,33791.0,koreacentral,Dsv3 Type4,Linux,Reservation,1 Year
USD,64972.0,koreacentral,Dsv3 Type4,Linux,Reservation,3 Years
USD,10.396,koreacentral,D96lds v6,Windows,Consumption,
USD,5.98,koreacentral,D96lds v6,Windows,DevTestConsumption,
USD,1.504,koreacentral,D16ls v5,Windows,Consumption,
USD,0.768,koreacentral,D16ls v5,Windows,DevTestConsumption,
USD,3.336,koreacentral,D48ds v4,Linux,Consumption,
USD,17010.0,koreacentral,D48ds v4,Linux,Reservation,1 Year
USD,32964.0,koreacentral,D48ds v4,Linux,Reservation,3 Years
USD,1.888,koreacentral,D32as v4,Linux,Consumption,
USD,9593.0,koreacentral,D32as v4,Linux,Reservation,1 Year
USD,18656.0,koreacentral,D32as v4,Linux,Reservation,3 Years
USD,0.215,koreacentral,D2 v3,Windows,Consumption,
USD,0.123,koreacentral,D2 v3,Windows,DevTestConsumption,
USD,3.776,koreacentral,D64s v4,Linux,Consumption,
USD,19230.0,koreacentral,D64s v4,Linux,Reservation,1 Year
USD,37312.0,koreacentral,D64s v4,Linux,Reservation,3 Years
USD,2.25,koreacentral,D32ads v6,Linux,Consumption,
USD,11627.0,koreacentral,D32ads v6,Linux,Reservation,1 Year
USD,22465.0,koreacentral,D32ads v6,Linux,Reservation,3 Years
USD,0.233,koreacentral,D2ads v6,Windows,Consumption,
USD,0.141,koreacentral,D2ads v6,Windows,DevTestConsumption,
USD,6.88,koreacentral,D64-32s v3,Windows,Consumption,
USD,3.936,koreacentral,D64-32s v3,Windows,DevTestConsumption,
USD,0.188,koreacentral,D2ls v5,Windows,Consumption,
USD,0.096,koreacentral,D2ls v5,Windows,DevTestConsumption,
USD,0.249,koreacentral,D4lds v6,Linux,Consumption,
USD,1353.0,koreacentral,D4lds v6,Linux,Reservation,1 Year
USD,2554.0,koreacentral,D4lds v6,Linux,Reservation,3 Years
USD,5.04,koreacentral,D48 v4,Windows,Consumption,
USD,2.832,koreacentral,D48 v4,Windows,DevTestConsumption,
USD,0.236,koreacentral,D4as v4,Linux,Consumption,
USD,1199.0,koreacentral,D4as v4,Linux,Reservation,1 Year
USD,2332.0,koreacentral,D4as v4,Linux,Reservation,3 Years
USD,5.544,koreacentral,D48ds v4,Windows,Consumption,
USD,3.336,koreacentral,D48ds v4,Windows,DevTestConsumption,
USD,0.43,koreacentral,D4s v3,Windows,Consumption,
USD,0.246,koreacentral,D4s v3,Windows,DevTestConsumption,
USD,0.21,koreacentral,D2a v4,Windows,Consumption,
USD,0.118,koreacentral,D2a v4,Windows,DevTestConsumption,
USD,0.306,koreacentral,D4ds v6,Linux,Consumption,
USD,1663.0,koreacentral,D4ds v6,Linux,Reservation,1 Year
USD,3139.0,koreacentral,D4ds v6,Linux,Reservation,3 Years
USD,0.124,koreacentral,D2s v6,Linux,Consumption,
USD,673.0,koreacentral,D2s v6,Linux,Reservation,1 Year
USD,1270.0,koreacentral,D2s v6,Linux,Reservation,3 Years
USD,5.98,koreacentral,D96lds v6,Linux,Consumption,
USD,32478.0,koreacentral,D96lds v6,Linux,Reservation,1 Year
USD,61289.0,koreacentral,D96lds v6,Linux,Reservation,3 Years
USD,0.49,koreacentral,D4ds v6,Windows,Consumption,
USD,0.306,koreacentral,D4ds v6,Windows,DevTestConsumption,
USD,6.72,koreacentral,D64as v4,Windows,Consumption,
USD,3.776,koreacentral,D64as v4,Windows,DevTestConsumption,
