armRegionName,serviceFamily,serviceName,skuName,armSkuName,retailPrice,priceType,reservationTerm,unitOfMeasure,currencyCode
koreacentral,Compute,Azure App Service,P0v3,Standard_P0_v3_Windows,0.1705,,,1 Hour,USD
koreacentral,Compute,Azure App Service,P0v3,Standard_P0_v3_Windows,0.0778,,,1 Hour,USD
koreacentral,Compute,Azure App Service,P0v3,Standard_P0_v3_Windows,1113.0,,1 Year,1 Hour,USD
koreacentral,Compute,Azure App Service,P0v3,Standard_P0_v3_Windows,2681.0,,3 Years,1 Hour,USD
koreacentral,Compute,Virtual Machines,D32lds v5 Spot,Standard_D32lds_v5,0.252032,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,F48ams v6 Spot,Standard_F48ams_v6,1.5004,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,F48ams v6 Spot,Standard_F48ams_v6,1.0588,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D2als v6 Low Priority,Standard_D2als_v6,0.0198,,,1 Hour,USD
koreacentral,Compute,Azure Container Apps,Hybrid,Hybrid,0.243,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D48lds v6,Standard_D48lds_v6,2.99,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D48lds v6,Standard_D48lds_v6,16239.0,,1 Year,1 Hour,USD
koreacentral,Compute,Virtual Machines,D48lds v6,Standard_D48lds_v6,30644.0,,3 Years,1 Hour,USD
koreacentral,Compute,Virtual Machines,F64s v2,Standard_F64s_v2,6.016,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,F64s v2,Standard_F64s_v2,3.072,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,FX4ms v2,Standard_FX4ms_v2,0.826,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,FX4ms v2,Standard_FX4ms_v2,0.642,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D48ls v5,Standard_D48ls_v5,4.512,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D48ls v5,Standard_D48ls_v5,2.304,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,FX2mds v2 Spot,Standard_FX2mds_v2,0.07824,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,FX2mds v2 Spot,Standard_FX2mds_v2,0.06352,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,F8as v6 Spot,Standard_F8as_v6,0.149214,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,F8as v6 Spot,Standard_F8as_v6,0.096517,,,1 Hour,USD
