currencyCode,tierMinimumUnits,retailPrice,unitPrice,armRegionName,location,effectiveStartDate,effectiveEndDate,meterId,meterName,productId,skuId,productName,skuName,serviceName,serviceId,serviceFamily,unitOfMeasure,type,isPrimaryMeterRegion,armSkuName,reservationTerm
USD,0.0,2.768,2.768,koreacentral,KR Central,2021-11-01T00:00:00Z,,0890ead8-5d61-5f14-bfc7-1f003cecfd9e,E32-8ds v4,DZH318Z0CSHK,DZH318Z0CSHK/003P,Virtual Machines Edsv4 Series,E32-8ds v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E32-8ds_v4,
USD,0.0,14230.0,14230.0,koreacentral,KR Central,2021-11-01T00:00:00Z,,0890ead8-5d61-5f14-bfc7-1f003cecfd9e,E32-8ds v4,DZH318Z0CSHK,DZH318Z0CSHK/02H2,Virtual Machines Edsv4 Series,E32-8ds v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,Standard_E32-8ds_v4,1 Year
USD,0.0,27351.0,27351.0,koreacentral,KR Central,2021-11-01T00:00:00Z,,0890ead8-5d61-5f14-bfc7-1f003cecfd9e,E32-8ds v4,DZH318Z0CSHK,DZH318Z0CSHK/02GZ,Virtual Machines Edsv4 Series,E32-8ds v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,Standard_E32-8ds_v4,3 Years
USD,0.0,1.006,1.006,koreacentral,KR Central,2024-10-01T00:00:00Z,,089164a8-c47a-5a4a-896e-0d88521c168e,E8-4s v6,DZH318Z0GNH7,DZH318Z0GNH7/039J,Virtual Machines Esv6 Series Windows,E8-4s v6,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E8-4s_v6,
USD,0.0,0.638,0.638,koreacentral,KR Central,2024-10-01T00:00:00Z,,089164a8-c47a-5a4a-896e-0d88521c168e,E8-4s v6,DZH318Z0GNH7,DZH318Z0GNH7/039J,Virtual Machines Esv6 Series Windows,E8-4s v6,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,Standard_E8-4s_v6,
USD,0.0,0.087066,0.087066,koreacentral,KR Central,2025-07-01T00:00:00Z,,08a49cb6-5e53-55ed-894f-73d470b7b94c,E8 v4 Spot,DZH318Z0D1L7,DZH318Z0D1L7/00N4,Virtual Machines Ev4 Series,E8 v4 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E8_v4,
USD,0.0,5.536,5.536,koreacentral,KR Central,2021-11-01T00:00:00Z,,08b721ea-c070-5c6e-ae0d-2d34b44bda25,E64ds v5,DZH318Z096SN,DZH318Z096SN/00MS,Virtual Machines Edsv5 Series,E64ds v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E64ds_v5,
USD,0.0,28612.0,28612.0,koreacentral,KR Central,2025-04-01T00:00:00Z,,08b721ea-c070-5c6e-ae0d-2d34b44bda25,E64ds v5,DZH318Z096SN,DZH318Z096SN/055D,Virtual Machines Edsv5 Series,E64ds v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,Standard_E64ds_v5,1 Year
USD,0.0,55285.0,55285.0,koreacentral,KR Central,2021-11-01T00:00:00Z,,08b721ea-c070-5c6e-ae0d-2d34b44bda25,E64ds v5,DZH318Z096SN,DZH318Z096SN/0558,Virtual Machines Edsv5 Series,E64ds v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,Standard_E64ds_v5,3 Years
USD,0.0,1.968,1.968,koreacentral,KR Central,2017-08-18T00:00:00Z,,6e574d11-4beb-43b8-b4d8-6765a9882381,D32-8s v3,DZH318Z0BQ50,DZH318Z0BQ50/02FH,Virtual Machines DSv3 Series,D32-8s v3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,False,Standard_D32-8s_v3,
