currencyCode,retailPrice,location,skuName,OS,type,reservationTerm
USD,832.0,koreacentral,D2ds v6,Linux,Reservation,1 Year
USD,1570.0,koreacentral,D2ds v6,Linux,Reservation,3 Years
USD,0.125,koreacentral,D2lds v6,Linux,Consumption,
USD,677.0,koreacentral,D2lds v6,Linux,Reservation,1 Year
USD,1277.0,koreacentral,D2lds v6,Linux,Reservation,3 Years
USD,1.926,koreacentral,FX12-6ms v2,Linux,Consumption,
USD,9617.0,koreacentral,FX12-6ms v2,Linux,Reservation,1 Year
USD,13667.0,koreacentral,FX12-6ms v2,Linux,Reservation,3 Years
USD,17.816,koreacentral,HB176-48rsv4,Windows,Consumption,
USD,9.72,koreacentral,HB176-48rsv4,Windows,DevTestConsumption,
USD,4.9,koreacentral,D64ds v6,Linux,Consumption,
USD,26615.0,koreacentral,D64ds v6,Linux,Reservation,1 Year
USD,50226.0,koreacentral,D64ds v6,Linux,Reservation,3 Years
USD,0.118,koreacentral,D2a v4,Linux,Consumption,
USD,600.0,koreacentral,D2a v4,Linux,Reservation,1 Year
USD,1166.0,koreacentral,D2a v4,Linux,Reservation,3 Years
USD,3.576,koreacentral,F48als v6,Linux,Consumption,
USD,19422.0,koreacentral,F48als v6,Linux,Reservation,1 Year
USD,36651.0,koreacentral,F48als v6,Linux,Reservation,3 Years
USD,11.664,koreacentral,HX176-96rs,Linux,Consumption,
USD,76630.0,koreacentral,HX176-96rs,Linux,Reservation,1 Year
USD,153261.0,koreacentral,HX176-96rs,Linux,Reservation,3 Years
USD,170273.0,koreacentral,HX176-96rs,Linux,Reservation,5 Years
USD,0.198,koreacentral,D4als v6,Linux,Consumption,
USD,1023.0,koreacentral,D4als v6,Linux,Reservation,1 Year
USD,1977.0,koreacentral,D4als v6,Linux,Reservation,3 Years
USD,15.409,koreacentral,FX96-24ms v2,Linux,Consumption,
USD,76938.0,koreacentral,FX96-24ms v2,Linux,Reservation,1 Year
USD,109333.0,koreacentral,FX96-24ms v2,Linux,Reservation,3 Years
USD,0.86,koreacentral,D8 v3,Windows,Consumption,
USD,0.492,koreacentral,D8 v3,Windows,DevTestConsumption,
USD,0.419,koreacentral,D4alds v6,Windows,Consumption,
USD,0.235,koreacentral,D4alds v6,Windows,DevTestConsumption,
USD,6.701,koreacentral,D64alds v6,Windows,Consumption,
USD,3.757,koreacentral,D64alds v6,Windows,DevTestConsumption,
USD,0.139,koreacentral,D2d v4,Linux,Consumption,
USD,709.0,koreacentral,D2d v4,Linux,Reservation,1 Year
USD,1373.0,koreacentral,D2d v4,Linux,Reservation,3 Years
USD,3.936,koreacentral,D64s v3,Linux,Consumption,
USD,19232.0,koreacentral,D64s v3,Linux,Reservation,1 Year
USD,39524.0,koreacentral,D64s v3,Linux,Reservation,3 Years
USD,3.936,koreacentral,D64-16s v3,Linux,Consumption,
USD,0.37,koreacentral,F4s,Windows,Consumption,
USD,0.204,koreacentral,F4s,Windows,DevTestConsumption,
USD,3.936,koreacentral,D64-32s v3,Linux,Consumption,
USD,0.168,koreacentral,F2as v6,Linux,Consumption,
USD,915.0,koreacentral,F2as v6,Linux,Reservation,1 Year
USD,1726.0,koreacentral,F2as v6,Linux,Reservation,3 Years
USD,132.732,koreacentral,ND96isrH100v5,Linux,Consumption,
USD,744149.0,koreacentral,ND96isrH100v5,Linux,Reservation,1 Year
USD,1531318.0,koreacentral,ND96isrH100v5,Linux,Reservation,3 Years
USD,2325465.0,koreacentral,ND96isrH100v5,Linux,Reservation,5 Years
USD,2.832,koreacentral,D48a v4,Linux,Consumption,
USD,14389.0,koreacentral,D48a v4,Linux,Reservation,1 Year
USD,27984.0,koreacentral,D48a v4,Linux,Reservation,3 Years
USD,0.596,koreacentral,F8als v6,Linux,Consumption,
USD,3237.0,koreacentral,F8als v6,Linux,Reservation,1 Year
USD,6109.0,koreacentral,F8als v6,Linux,Reservation,3 Years
USD,11.894,koreacentral,D192s v6,Linux,Consumption,
